ID,CommentsAssociated,CommentsAssociatedLabel
4652,"/** * Updates an existing node on disk. If the node instance is not in the list of nodes, then this * will be a no-op, even if there is another instance with the same {@link Node#getNodeName()}. * * @param node the node to be updated. * @return {@code true}, if the node was updated. {@code false}, if the node was not in the list of nodes. * @throws IOException if the node could not be persisted. * @since 1.634 */[[SEP]]// should never happen, but if it does let's do the right thing[[SEP]]// can never happen[[SEP]]// TODO there is a theoretical race whereby the node instance is updated/removed after lock release[[SEP]]// TODO should this fireOnUpdated?",1
3022,// wait for the Flowable to complete,0
1863,"// The datasource is optional for the DATABASE multi-tenancy strategy,// since the datasource will be resolved separately for each tenant.[[SEP]]//quarkus.io/guides/datasource for guidance),"" + "" or set the dialect explicitly through property '"" + HibernateOrmRuntimeConfig.puPropertyKey(persistenceUnitName, ""dialect"") + ""'."", persistenceUnitName));[[SEP]]//quarkus.io/guides/datasource for guidance."", persistenceUnitName), new HashSet<>(Arrays.asList(""quarkus.datasource.db-kind"", ""quarkus.datasource.username"", ""quarkus.datasource.password"", ""quarkus.datasource.jdbc.url"")));[[SEP]]// we found one// todo URL[[SEP]]// That's right, we're pushing both class names and package names// to a method called ""addClasses"".// It's a misnomer: while the method populates the set that backs getManagedClasses(),// that method is also poorly named because it can actually return both class names// and package names.// See for proof:// - how org.hibernate.boot.archive.scan.internal.ScanResultCollector.isListedOrDetectable// is used for packages too, even though it relies (indirectly) on getManagedClassNames().// - the comment at org/hibernate/boot/model/process/internal/ScanningCoordinator.java:246:// ""IMPL NOTE : ""explicitlyListedClassNames"" can contain class or package names...""[[SEP]]// The storage engine has to be set as a system property.[[SEP]]// Physical Naming Strategy[[SEP]]// Implicit Naming Strategy[[SEP]]// Metadata builder contributor[[SEP]]// charset[[SEP]]// Query[[SEP]]// Disable sequence validations: they are reportedly slow, and people already get the same validation from normal schema validation[[SEP]]// JDBC[[SEP]]// Statistics[[SEP]]// When statistics are enabled, the default in Hibernate ORM is to also log them after each// session; turn that off by default as it's very noisy:[[SEP]]// sql-load-scripts[[SEP]]// enlist resource if present[[SEP]]// raise exception if explicit file is not present (i.e. not the default)[[SEP]]// in dev mode we want to make sure that we watch for changes to file even if it doesn't currently exist// as a user could still add it after performing the initial configuration[[SEP]]// only set the found import files if configured[[SEP]]// Disable implicit loading of the default import script (import.sql)[[SEP]]// Caching[[SEP]]// Only set these if the user isn't making an explicit choice:[[SEP]]// Unless the global switch is explicitly set to off, in which case we disable all caching:[[SEP]]// Hibernate Validator integration: we force the callback mode to have bootstrap errors reported rather than validation ignored// if there is any issue when bootstrapping Hibernate Validator.[[SEP]]// Collect the storage engines if MySQL or MariaDB[[SEP]]// Discriminator Column",1
4109,/** * Returns the requirements needed to be met to progress. */,0
1768,// Resolve value type IDs (#3731),0
9264,/** * Returns a {@link JSONObject} representing all the values in {@code this}. */,0
26592,"// only take primary shards, which should be exactly 1, this isn't strictly necessary// and we should consider taking any shard copy, but then we need another way to de-dup[[SEP]]// special case: a node that holds the shard is on an old version",1
5287,/** * TODO un-restrict it in a weekly after the patch */[[SEP]]// shortcut for direct child to avoid the complexity of the whole computation// as we know that a file that is a direct descendant of its parent can only be descendant of the root// if the parent is descendant[[SEP]]// not a return false because you can be a non-descendant of your parent but still// inside the root directory,1
1477,// TODO: implement.,1
943,/** * @deprecated Use {@link Format.Builder}. */,1
10467,"/** * Converts an array of integers in the range [0, 255] into an equivalent byte array. * * @param bytes An array of integers, all of which must be in the range [0, 255]. * @return The equivalent byte array. */",0
21464,"// TODO enable this once gateway mode is in place// HelpFormatter formatter = new HelpFormatter();// formatter.setLeftPadding(5);// formatter.setWidth(80);//// System.out.println(""\nIn future versions: Mode \""gateway\"" mode connects to the SQL// gateway for submission."");// System.out.println(""\n  Syntax: gateway [OPTIONS]"");// formatter.setSyntaxPrefix(""  \""gateway\"" mode options:"");// formatter.printHelp("" "", GATEWAY_MODE_CLIENT_OPTIONS);//// System.out.println();",1
938,/** * @deprecated Use {@link Util#getFormatSupportString(int)}. */,1
7208,"/** * Creates a new allocation id for a shard that moves to be relocated, populating * the transient holder for relocationId. */",0
15178,// None of the examples we use this method with move back,0
1433,"/** * @deprecated Use {@link #onPositionDiscontinuity(PositionInfo, PositionInfo, int)} instead. */",1
18278,"/** * Verify that the health API returns a ""YELLOW"" status when a node disappears and a shard is unassigned because it is delayed. */",0
136,// Do nothing.[[SEP]]/* windowIndex= */,0
15448,/** * Returns the port range where the queryable state server can listen. See {@link * org.apache.flink.configuration.QueryableStateOptions#SERVER_PORT_RANGE * QueryableStateOptions.SERVER_PORT_RANGE}. */,0
7856,// Extension may be null if called directly from the ObserverRegistrationPhaseBuildItem,0
656,/** * This method should be used wherever {@link URL#openConnection()} to internet URLs is invoked directly. * * @deprecated use {@link #newHttpClient}/{@link #newHttpClientBuilder} and {@link #newHttpRequestBuilder(URI)} */[[SEP]]// Add an authenticator which provides the credentials for proxy authentication[[SEP]]// this code may run on an agent,1
8274,"// It is fine for position to be at the end of the array, but no further.",0
21709,"/** * Consumes the given Java {@link DataStream} and returns the sink transformation {@link * DataStreamSink}. * * <p>Note: If the {@link CompiledPlan} feature should be supported, this method MUST set a * unique identifier for each transformation/operator in the data stream. This enables stateful * Flink version upgrades for streaming jobs. The identifier is used to map state back from a * savepoint to an actual operator in the topology. The framework can generate topology-wide * unique identifiers with {@link ProviderContext#generateUid(String)}. * * @see SingleOutputStreamOperator#uid(String) */",1
1518,// TODO: implement.,1
21348,"/** * Find a suitable node in the cluster that we can run the memory * estimation process on, and redirect the request to this node. */",0
16862,"/** * Add a shutdown hook to wait for thread completion in the given {@link ExecutorService service}. * This is useful if the given service uses daemon threads, and we want to keep the JVM from * exiting immediately on shutdown, instead giving these daemon threads a chance to terminate * normally. * * @param service ExecutorService which uses daemon threads * @param terminationTimeout how long to wait for the executor to finish before terminating the *     JVM * @param timeUnit unit of time for the time parameter */[[SEP]]// TODO[[SEP]]// should accept a java.time.Duration",1
2293,"/** * Returns maximal memory usage of a query plan (or subplan) after a first output row was produced. * When this cost represents a cost of a subplan, this information can be used to determine maximum memory * usage (and maximum memory usage after a first output row was produced) for plan nodes higher up in the plan tree. * <p> * Unknown value is represented by {@link Double#NaN}. */",0
8605,"/*       * This is nasty and complicated, but it's the only way to make sure keys get mapped to enough       * distinct values.       */",1
1200,"// flag to check whether to interrupt.[[SEP]]// when running with continuous testing, this method fails// because currentApplication is not set when running as an// auxiliary application.  So, just skip it if hot replacement enabled.// This method is called to determine if Quarkus is started and ready to receive requests.[[SEP]]// FYI: This log is required as native test runner// looks for ""Listening on"" in log to ensure native executable booted[[SEP]]// just return gracefully as we were probably shut down by// shutdown task[[SEP]]// connection should be closed by finally clause[[SEP]]// do not interrupt during a hot replacement// as shutdown will abort and do nasty things.[[SEP]]// hot replacement happened in dev mode// so we requeue the request as quarkus will restart// and the message will not be processed// FYI: this requeue endpoint is something only the mock event server implements[[SEP]]// Read data[[SEP]]// our main loop is done, time to shut down[[SEP]]// note that interrupting does not seem to be 100% reliable in unblocking the thread",1
14576,"// TODO(jlevy): Move to StandardRowSortedTable?[[SEP]]/** * Returns the comparator that orders the rows. With natural ordering, {@link Ordering#natural()} * is returned. * * @deprecated Use {@code table.rowKeySet().comparator()} instead. */[[SEP]]/*     * requireNonNull is safe because the factories require non-null Comparators, which they pass on     * to the backing collections.     */",1
3908,"/** * Returns whether it is possible to adapt an instance of this decoder seamlessly from {@code * oldFormat} to {@code newFormat}. If {@code newFormat} may not be completely populated, pass * {@code false} for {@code isNewFormatComplete}. * * <p>For adaptation to succeed, the codec must also be configured with maximum values that are * compatible with the new format. * * @param oldFormat The format being decoded. * @param newFormat The new format. * @param isNewFormatComplete Whether {@code newFormat} is populated with format-specific *     metadata. * @return Whether it is possible to adapt the decoder seamlessly. * @deprecated Use {@link #canReuseCodec}. */",1
27168,// ensure we only filter for the allowed headers,0
1169,"// get a staging dir associated with a final dir[[SEP]]// TODO: may append something more meaningful than a timestamp, like query ID",1
4573,/** * Creates a new {@link SilenceMediaSource}. * * @throws IllegalStateException if the duration is a non-positive value. */,0
57,/** * {@inheritDoc} */,0
4615,/** * Gets the service administrator e-mail address. * @return Admin address or &quot;address not configured&quot; stub */,0
9562,"/*     * Implementation notes:     *     * <p>Use aggregator to replace SumEdgeStats when aggregators are rewritten to use     * a hash-combinable hashable-reduce.     *     * <p>Use distinct to replace ReduceEdgeStats when the combiner can be disabled     * with a sorted-reduce forced.     */[[SEP]]// s, t, (d(s), d(t))[[SEP]]// s, d(s), count of (u, v) where deg(u) < deg(v) or (deg(u) == deg(v) and u < v)",1
1270,/** * Finds the cause of the specific type. */,0
5309,/** * @return Whether this vector is a unit length vector */,0
1123,/** * Returns the {@link Player} to which operations are forwarded. */,0
557,// assume the IDE run window has color support[[SEP]]// On Windows without a known good emulator// TODO: optimally we would check if Win32 getConsoleMode has// ENABLE_VIRTUAL_TERMINAL_PROCESSING enabled or enable it via// setConsoleMode.// For now we turn it off to not generate noisy output for most// users.// Must be on some Unix variant or ANSI-enabled windows terminal...[[SEP]]// on sane operating systems having a console is a good indicator// you are attached to a TTY with colors.,1
530,"/** * Discover all the service provider implementations of the given class, * via {@code META-INF/services}. * @deprecated Use {@link ServiceLoader} instead, or (more commonly) {@link ExtensionList}. */",1
1531,/** * Returns the current build this executor is running. * * @return *      null if the executor is idle. */,0
2397,/** * @deprecated as of 1.461 *      Override and call {@link #createFor(Run)} instead. */,1
5266,"/** * Execute the command <a href=""https://redis.io/commands/rpoplpush"">RPOPLPUSH</a>. * Summary: Remove the last element in a list, prepend it to another list and return it * Group: list * Requires Redis 1.2.0 * * @param source the key * @param destination the key * @return the element being popped and pushed, or {@code null} if the source does not exist * @deprecated See https://redis.io/commands/rpoplpush */",1
6063,"/** * Will make this progress bar snap to the specified values, if the knob is within the threshold. * @param values May be null. */",0
4173,// Only assert that the scheduled method is working fine,0
3514,"/** * Returns whether to work around problems with passthrough audio tracks. See [Internal: * b/18899620, b/19187573, b/21145353]. */",1
17112,// TODO we'll have to handle this in the tests eventually,1
22270,"//github.com/elastic/elasticsearch/issues/87240"")[[SEP]]// The bug is in the assertReduced() method immediately below that the base class testReduceRandom() calls.// To unmute after the bug is fixed, simply delete this entire method so that the base class method is used again.",1
1189,"/** * Returns a string containing a JSON with the Google public signing keys. * * <p>Meant to be called by {@link PaymentMethodTokenRecipient}. */[[SEP]]// Checking and using the cache if required.[[SEP]]// Proactively triggering a refresh if we are close to the cache expiration.[[SEP]]// Acquiring the fetch lock so we don't have multiple threads trying to fetch from the// server at the same time.[[SEP]]// It is possible that some other thread performed the fetch already and we don't need// to fetch anymore, so double checking a fetch is still required.[[SEP]]// No other thread fetched, so it is up to this thread to fetch.",0
414,/** * @return a DeterministicAead primitive from a {@code keysetHandle}. * @deprecated Use {@code keysetHandle.GetPrimitive(DeterministicAead.class)} after registering *     the {@code DeterministicAeadWrapper} instead. */,1
589,/** * Is this plugin deprecated? * * @return {@code true} if and only if an update site reports deprecations for this plugin. * @since 2.246 */[[SEP]]/*        While better handled in UpdateSite.Plugin that only exists for plugins actively being published.        We have no good model for plugin metadata from update sites for plugins not being published.         */,1
3056,/** * Retrieves and removes continues stream of elements from the head. * Waits for next element become available. * * @return stream of head elements */,0
11326,// Create a service whose executor will never run its commands,0
5312,"/** * Execute the command <a href=""https://redis.io/commands/brpoplpush"">BRPOPLPUSH</a>. * Summary: Pop an element from a list, push it to another list and return it; or block until one is available * Group: list * Requires Redis 2.2.0 * * @param timeout the timeout, in seconds * @param source the source key * @param destination the detination key * @return A {@code Uni} emitting {@code null} when the command has been enqueued successfully in the transaction, a failure *         otherwise. In the case of failure, the transaction is discarded. * @deprecated See https://redis.io/commands/brpoplpush */",1
11316,// TODO add support for batching here,1
1333,// because it leads to really weird behavior sometimes// it's because cglib & my code can occasionelly call those methods// and when user has verification started at that time there will be a mess,1
6751,/** * Set the value of the <code>name</code> property to a <code>boolean</code>. * * @param name property name. * @param value <code>boolean</code> value of the property. */,0
17962,"// wait until the async checkpoint is in the write code, then continue",0
4779,/** * List of repositories to return * * @return list or repositories */,0
1829,// YYYY-MM-DDThh:mm:ss.mmm,0
12515,// calls refreshIfEmpty[[SEP]]// maybe shouldn't be removed if this is a sublist,1
8583,"// TODO(cpovirk): consider using this approach (derived suites instead of extension) in// ListTestSuiteBuilder, etc.?[[SEP]]// BiMap.entrySet() duplicate-handling behavior is too confusing for SetCreationTester[[SEP]]/*     * TODO(cpovirk): the Map tests duplicate most of this effort by using a     * CollectionTestSuiteBuilder on values(). It would be nice to avoid that     */[[SEP]]// BiMap.values() duplicate-handling behavior is too confusing for SetCreationTester",1
868,// 场景：序列化,0
22000,/** * NOTE: Currently the concept of min/max idle state retention has been deprecated and only idle * state retention time is supported. The min idle state retention is regarded as idle state * retention and the max idle state retention is derived from idle state retention as 1.5 x idle * state retention. * * @return The minimum time until state which was not updated will be retained. * @deprecated use{@link getIdleStateRetention} instead. */,1
11285,// can't do new TypeToken<? extends ...>() {},0
1191,// todo: do we need the number of columns for 'relnatts'?,1
4318,// TODO: Replace window index with uid in reporting to get rid of this inefficient method and// the childIndex and firstWindowIndexInChild variables.,1
1204,"/** * Flattens the current {@code Observable} and another {@link ObservableSource} into a single {@code Observable} sequence, without any transformation. * <p> * <img width=""640"" height=""380"" src=""https://raw.github.com/wiki/ReactiveX/RxJava/images/rx-operators/merge.v3.png"" alt=""""> * <p> * You can combine items emitted by multiple {@code ObservableSource}s so that they appear as a single {@code ObservableSource}, by * using the {@code mergeWith} method. * <dl> *  <dt><b>Scheduler:</b></dt> *  <dd>{@code mergeWith} does not operate by default on a particular {@link Scheduler}.</dd> * </dl> * * @param other *            an {@code ObservableSource} to be merged * @return the new {@code Observable} instance * @throws NullPointerException if {@code other} is {@code null} * @see <a href=""http://reactivex.io/documentation/operators/merge.html"">ReactiveX operators documentation: Merge</a> */",0
1015,// FIXME: This error will get lost[[SEP]]// TODO: Throw exception instead?,1
3860,"/** * Creates a decal using the region for texturing * * @param width Width of the decal in world units * @param height Height of the decal in world units * @param textureRegion TextureRegion to use * @return Created decal */[[SEP]]// TODO : it would be convenient if {@link com.badlogic.gdx.graphics.Texture} had a getFormat() method to assume transparency// from RGBA,..",1
17000,// run the serialization[[SEP]]// verify the result[[SEP]]// check that all the correct names and values are returned,0
5155,// query should not block,0
4067,"/** * @deprecated Use {@link #forMediaItem(MediaItem, TrackSelectionParameters, RenderersFactory, *     DataSource.Factory, DrmSessionManager)} instead. */",1
1647,"// return AABB.testOverlap(proxyA.aabb, proxyB.aabb);// return m_tree.overlap(proxyIdA, proxyIdB);",0
21700,"/** * Creates a view from the given {@link DataStream} in a given path with specified field names. * Registered views can be referenced in SQL queries. * * <p>There are two modes for mapping original fields to the fields of the View: * * <p>1. Reference input fields by name: All fields in the schema definition are referenced by * name (and possibly renamed using an alias (as). Moreover, we can define proctime and rowtime * attributes at arbitrary positions using arbitrary names (except those that exist in the * result schema). In this mode, fields can be reordered and projected out. This mode can be * used for any input type, including POJOs. * * <p>Example: * * <pre>{@code * DataStream<Tuple2<String, Long>> stream = ... * tableEnv.createTemporaryView( *    ""cat.db.myTable"", *    stream, *    $(""f1""), // reorder and use the original field *    $(""rowtime"").rowtime(), // extract the internally attached timestamp into an event-time *                            // attribute named 'rowtime' *    $(""f0"").as(""name"") // reorder and give the original field a better name * ); * }</pre> * * <p>2. Reference input fields by position: In this mode, fields are simply renamed. Event-time * attributes can replace the field on their position in the input data (if it is of correct * type) or be appended at the end. Proctime attributes must be appended at the end. This mode * can only be used if the input type has a defined field order (tuple, case class, Row) and * none of the {@code fields} references a field of the input type. * * <p>Example: * * <pre>{@code * DataStream<Tuple2<String, Long>> stream = ... * tableEnv.createTemporaryView( *    ""cat.db.myTable"", *    stream, *    $(""a""), // rename the first field to 'a' *    $(""b""), // rename the second field to 'b' *    $(""rowtime"").rowtime() // adds an event-time attribute named 'rowtime' * ); * }</pre> * * <p>Temporary objects can shadow permanent ones. If a permanent object in a given path exists, * it will be inaccessible in the current session. To make the permanent object available again * you can drop the corresponding temporary object. * * @param path The path under which the {@link DataStream} is created. See also the {@link *     TableEnvironment} class description for the format of the path. * @param dataStream The {@link DataStream} out of which to create the view. * @param fields The fields expressions to map original fields of the DataStream to the fields *     of the View. * @param <T> The type of the {@link DataStream}. * @deprecated Use {@link #createTemporaryView(String, DataStream, Schema)} instead. In most *     cases, {@link #createTemporaryView(String, DataStream)} should already be sufficient. It *     integrates with the new type system and supports all kinds of {@link DataTypes} that the *     table runtime can consume. The semantics might be slightly different for raw and *     structured types. */",1
94,"/** * Sets the public key of the recipient. * * <p>The public key must be formatted as an uncompressed point format, i.e., it has {@code 65} * bytes and the first byte must be {@code 0x04}. */",0
536,"/** * Returns set-based cache instance by <code>name</code> * using provided <code>codec</code> for values. * Uses map (value_hash, value) under the hood for minimal memory consumption. * Supports value eviction with a given TTL value. * * <p>If eviction is not required then it's better to use regular map {@link #getSet(String, Codec)}.</p> * * @param <V> type of value * @param name - name of object * @param codec - codec for values * @return SetCache object */",0
